Date,Open,High,Low,Close,Volume
2017-11-02 14:52:00,144.53,144.57,144.52,144.57,0.0
2017-11-02 14:53:00,144.57,144.61,144.57,144.61,0.0
2017-11-02 14:54:00,144.61,144.69,144.61,144.66,222000.0
7,7.0,7.0,7.0,7.0,7.0
2017-11-02 14:55:00,144.66,144.69,144.66,144.67,37900.00000000001
2017-11-02 14:56:00,144.68,144.69,144.63,144.63,83500.0
2017-11-02 14:57:00,144.6,144.62,144.53,144.53,45400.00000000001
2017-11-02 14:58:00,144.53,144.55,144.5,144.51,65300.0
2017-11-02 14:59:00,144.51,144.55,144.51,144.55,28299.999999999996
2017-11-02 15:01:00,144.61,144.62,144.56,144.62,87800.0
1,1.0,1.0,1.0,1.0,1.0
